id_anonyme;sexe;type_vehicule;usage_vehicule;age_vehicule;formule;mois_demande;etat_dossier;tranche_age;tranche_revenus;enfants;anciennete_demande;tranche_tarifs
22;M;Minivan;Private;;dev_premium;mars;complet;>40 ans;20-40k€;Oui;60–89 jours;Confort
23;F;Van;Commercial;7.0;dev_premium;mai;complet;<25 ans;Non renseigné;Non;<30 jours;Confort
24;F;Sports Car;Commercial;1.0;dev_premium;février;complet;>40 ans;40-60k€;Oui;>90 jours;Premium
25;M;Pickup;Commercial;1.0;dev_express;avril;complet;<25 ans;20-40k€;Non;30-59 jours;Standard
26;M;Minivan;Private;;dev_express;avril;complet;>40 ans;Non renseigné;Non;30-59 jours;Standard
27;F;Sports Car;Private;1.0;dev_integral;mars;complet;25-40 ans;40-60k€;Non;60–89 jours;Standard
28;F;z_SUV;Private;;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
29;F;z_SUV;Private;1.0;dev_vip;mars;complet;>40 ans;40-60k€;Non;60–89 jours;Premium
30;F;z_SUV;Private;17.0;dev_premium;février;complet;<25 ans;60k€+;Non;>90 jours;Confort
31;F;z_SUV;Private;1.0;dev_express;janvier;complet;>40 ans;20-40k€;Oui;>90 jours;Standard
32;M;Minivan;Commercial;5.0;dev_integral;avril;complet;25-40 ans;20-40k€;Oui;30-59 jours;Confort
33;F;z_SUV;Private;9.0;dev_express;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
34;M;z_SUV;Private;6.0;dev_premium;février;complet;<25 ans;20-40k€;Non;>90 jours;Premium
35;M;Sports Car;Private;12.0;dev_express;février;complet;>40 ans;60k€+;Oui;>90 jours;Standard
36;F;z_SUV;Private;9.0;dev_integral;février;complet;>40 ans;20-40k€;Non;>90 jours;Confort
37;F;Sports Car;Commercial;15.0;dev_express;février;complet;>40 ans;20-40k€;Non;>90 jours;Standard
38;F;z_SUV;Private;14.0;dev_integral;février;complet;<25 ans;60k€+;Oui;>90 jours;Standard
39;F;Minivan;Private;15.0;dev_integral;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
40;M;z_SUV;Private;11.0;dev_premium;mars;complet;25-40 ans;40-60k€;Non;60–89 jours;Premium
41;F;Sports Car;Private;10.0;dev_express;mai;complet;<25 ans;Non renseigné;Oui;<30 jours;Standard
42;F;z_SUV;Private;8.0;dev_express;avril;complet;>40 ans;0-20k€;Oui;30-59 jours;Standard
43;M;Pickup;Commercial;10.0;dev_express;mars;complet;>40 ans;0-20k€;Oui;60–89 jours;Standard
44;F;Pickup;Private;;dev_premium;avril;complet;>40 ans;40-60k€;Oui;30-59 jours;Premium
45;M;z_SUV;Private;13.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
46;F;z_SUV;Private;15.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
47;M;z_SUV;Private;1.0;dev_express;avril;complet;>40 ans;0-20k€;Oui;30-59 jours;Standard
48;F;Panel Truck;Commercial;13.0;dev_integral;février;complet;25-40 ans;60k€+;Non;>90 jours;Confort
49;M;Van;Commercial;7.0;dev_integral;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
50;F;Van;Private;1.0;dev_integral;avril;complet;25-40 ans;40-60k€;Oui;30-59 jours;Standard
51;F;Pickup;Commercial;1.0;dev_integral;mars;complet;25-40 ans;20-40k€;Non;60–89 jours;Confort
52;F;Minivan;Private;5.0;dev_express;mars;complet;>40 ans;40-60k€;Oui;60–89 jours;Standard
53;M;Minivan;Private;7.0;dev_express;mai;complet;<25 ans;60k€+;Non;<30 jours;Standard
54;F;Sports Car;Private;19.0;dev_express;mai;complet;>40 ans;40-60k€;Non;<30 jours;Standard
55;F;Minivan;Commercial;8.0;dev_express;avril;complet;<25 ans;60k€+;Non;30-59 jours;Standard
56;M;Van;Private;13.0;dev_premium;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
57;F;Van;Commercial;9.0;dev_integral;mai;complet;>40 ans;40-60k€;Oui;<30 jours;Standard
58;M;z_SUV;Private;12.0;dev_express;avril;complet;25-40 ans;60k€+;Non;30-59 jours;Standard
59;F;Van;Private;1.0;dev_express;janvier;complet;>40 ans;20-40k€;Oui;>90 jours;Standard
60;F;Sports Car;Private;7.0;dev_express;avril;complet;25-40 ans;20-40k€;Oui;30-59 jours;Standard
61;F;Minivan;Private;16.0;dev_integral;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
62;F;Pickup;Private;8.0;dev_express;avril;complet;>40 ans;40-60k€;Non;30-59 jours;Standard
63;F;Van;Commercial;5.0;dev_integral;mai;complet;>40 ans;60k€+;Oui;<30 jours;Standard
64;F;Sports Car;Private;1.0;dev_express;mai;complet;>40 ans;20-40k€;Oui;<30 jours;Standard
65;F;z_SUV;Private;6.0;dev_integral;avril;complet;<25 ans;0-20k€;Non;30-59 jours;Standard
66;M;z_SUV;Private;1.0;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
67;M;Pickup;Private;7.0;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
68;M;Minivan;Private;5.0;dev_express;mai;complet;>40 ans;0-20k€;Non;<30 jours;Standard
69;M;z_SUV;Private;13.0;dev_express;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Standard
70;F;Pickup;Commercial;3.0;dev_integral;janvier;complet;25-40 ans;60k€+;Non;>90 jours;Confort
71;F;z_SUV;Private;9.0;dev_integral;janvier;complet;<25 ans;60k€+;Non;>90 jours;Confort
72;M;z_SUV;Private;12.0;dev_express;janvier;complet;25-40 ans;60k€+;Non;>90 jours;Standard
73;M;Minivan;Private;9.0;dev_integral;avril;complet;<25 ans;60k€+;Non;30-59 jours;Standard
74;F;Minivan;Private;9.0;dev_premium;février;complet;>40 ans;60k€+;Oui;>90 jours;Premium
75;M;Pickup;Private;8.0;dev_express;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Standard
76;F;z_SUV;Private;18.0;dev_integral;avril;complet;25-40 ans;60k€+;Non;30-59 jours;Confort
77;F;Minivan;Commercial;1.0;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
78;M;Panel Truck;Commercial;11.0;dev_premium;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Confort
79;F;Minivan;Private;6.0;dev_express;février;complet;>40 ans;40-60k€;Non;>90 jours;Standard
80;M;Minivan;Private;1.0;dev_premium;avril;complet;>40 ans;60k€+;Non;30-59 jours;Confort
81;M;Sports Car;Private;3.0;dev_express;janvier;complet;>40 ans;0-20k€;Non;>90 jours;Standard
82;M;Van;Commercial;8.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
83;F;z_SUV;Commercial;4.0;dev_express;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Standard
84;M;Sports Car;Private;;dev_express;mai;complet;>40 ans;0-20k€;Non;<30 jours;Standard
85;M;Pickup;Commercial;8.0;dev_express;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Standard
86;M;Minivan;Private;9.0;dev_express;mars;complet;25-40 ans;40-60k€;Non;60–89 jours;Standard
87;M;Minivan;Private;17.0;dev_premium;janvier;complet;>40 ans;Non renseigné;Non;>90 jours;Premium
88;F;z_SUV;Private;1.0;dev_express;mai;complet;<25 ans;20-40k€;Oui;<30 jours;Standard
89;M;Minivan;Private;13.0;dev_premium;février;complet;>40 ans;40-60k€;Non;>90 jours;Premium
90;M;Sports Car;Private;2.0;dev_integral;janvier;complet;>40 ans;40-60k€;Oui;>90 jours;Standard
91;M;Minivan;Commercial;1.0;dev_express;avril;complet;>40 ans;40-60k€;Non;30-59 jours;Standard
92;F;Minivan;Private;1.0;dev_premium;mars;complet;<25 ans;20-40k€;Oui;60–89 jours;Confort
93;F;Sports Car;Private;1.0;dev_premium;février;complet;<25 ans;60k€+;Non;>90 jours;Premium
94;M;Van;Private;1.0;dev_express;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Standard
95;F;Pickup;Private;11.0;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
96;F;Pickup;Commercial;5.0;dev_integral;janvier;complet;>40 ans;20-40k€;Non;>90 jours;Confort
97;M;Minivan;Private;1.0;dev_express;mars;complet;>40 ans;20-40k€;Non;60–89 jours;Standard
98;F;Minivan;Private;6.0;dev_integral;avril;complet;25-40 ans;40-60k€;Oui;30-59 jours;Standard
99;M;Van;Private;8.0;dev_integral;mai;complet;25-40 ans;60k€+;Oui;<30 jours;Confort
100;M;z_SUV;Commercial;1.0;dev_integral;février;complet;<25 ans;60k€+;Non;>90 jours;Confort
101;M;Pickup;Commercial;12.0;dev_integral;février;complet;>40 ans;0-20k€;Oui;>90 jours;Confort
102;F;Minivan;Private;1.0;dev_integral;janvier;complet;<25 ans;40-60k€;Oui;>90 jours;Confort
103;M;Minivan;Private;11.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
104;M;Panel Truck;Commercial;17.0;dev_express;janvier;complet;<25 ans;60k€+;Non;>90 jours;Standard
105;M;Minivan;Private;12.0;dev_premium;mai;complet;>40 ans;60k€+;Non;<30 jours;Premium
106;M;Panel Truck;Commercial;14.0;dev_integral;mars;complet;25-40 ans;Non renseigné;Oui;60–89 jours;Standard
107;F;Minivan;Private;5.0;dev_integral;janvier;complet;>40 ans;0-20k€;Oui;>90 jours;Confort
108;M;Minivan;Commercial;12.0;dev_integral;mars;complet;25-40 ans;60k€+;Oui;60–89 jours;Confort
109;F;Minivan;Private;11.0;dev_express;janvier;complet;>40 ans;60k€+;Oui;>90 jours;Standard
110;M;z_SUV;Private;9.0;dev_premium;avril;complet;>40 ans;0-20k€;Non;30-59 jours;Confort
111;M;z_SUV;Commercial;9.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Standard
112;M;Minivan;Commercial;12.0;dev_express;mai;complet;>40 ans;60k€+;Oui;<30 jours;Standard
113;M;z_SUV;Private;8.0;dev_express;mars;complet;>40 ans;0-20k€;Oui;60–89 jours;Standard
114;F;Minivan;Commercial;6.0;dev_express;mars;complet;>40 ans;40-60k€;Oui;60–89 jours;Standard
115;F;z_SUV;Private;14.0;dev_premium;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
116;F;Minivan;Private;1.0;dev_premium;janvier;complet;>40 ans;20-40k€;Oui;>90 jours;Premium
117;F;Sports Car;Private;11.0;dev_express;janvier;complet;>40 ans;40-60k€;Oui;>90 jours;Standard
118;F;Pickup;Private;7.0;dev_integral;janvier;complet;>40 ans;0-20k€;Oui;>90 jours;Confort
119;M;Sports Car;Commercial;1.0;dev_integral;mai;complet;<25 ans;40-60k€;Oui;<30 jours;Confort
120;M;Minivan;Private;15.0;dev_integral;mai;complet;<25 ans;60k€+;Non;<30 jours;Confort
121;M;z_SUV;Private;13.0;dev_integral;février;complet;>40 ans;0-20k€;Non;>90 jours;Confort
122;M;Minivan;Private;11.0;dev_express;février;complet;>40 ans;60k€+;Oui;>90 jours;Standard
123;M;z_SUV;Private;12.0;dev_integral;mai;complet;>40 ans;60k€+;Non;<30 jours;Confort
124;F;Pickup;Private;11.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
125;F;Van;Private;9.0;dev_integral;janvier;complet;25-40 ans;20-40k€;Oui;>90 jours;Confort
126;M;Minivan;Private;8.0;dev_integral;avril;complet;25-40 ans;60k€+;Non;30-59 jours;Standard
127;M;Minivan;Private;1.0;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
128;M;Minivan;Commercial;1.0;dev_express;mars;complet;<25 ans;0-20k€;Non;60–89 jours;Standard
129;M;Sports Car;Commercial;;dev_premium;avril;complet;<25 ans;40-60k€;Non;30-59 jours;Premium
130;M;Minivan;Private;13.0;dev_express;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
131;F;Sports Car;Private;13.0;dev_express;février;complet;>40 ans;0-20k€;Oui;>90 jours;Standard
132;F;Minivan;Private;9.0;dev_vip;mai;complet;>40 ans;20-40k€;Oui;<30 jours;Premium
133;M;z_SUV;Private;1.0;dev_express;mars;complet;<25 ans;0-20k€;Oui;60–89 jours;Standard
134;M;Minivan;Private;5.0;dev_express;février;complet;>40 ans;20-40k€;Non;>90 jours;Standard
135;F;z_SUV;Private;9.0;dev_integral;avril;complet;<25 ans;40-60k€;Oui;30-59 jours;Standard
136;F;Minivan;Private;16.0;dev_integral;mai;complet;>40 ans;60k€+;Oui;<30 jours;Confort
137;M;Van;Commercial;15.0;dev_integral;mars;complet;<25 ans;40-60k€;Non;60–89 jours;Confort
138;M;Van;Commercial;9.0;dev_express;mai;complet;25-40 ans;60k€+;Oui;<30 jours;Standard
139;M;z_SUV;Commercial;1.0;dev_express;mai;complet;>40 ans;40-60k€;Oui;<30 jours;Standard
140;F;Sports Car;Private;7.0;dev_premium;avril;complet;>40 ans;Non renseigné;Oui;30-59 jours;Premium
141;M;Sports Car;Commercial;9.0;dev_integral;mars;complet;>40 ans;60k€+;Non;60–89 jours;Confort
142;F;Minivan;Private;9.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
143;F;Pickup;Private;12.0;dev_integral;janvier;complet;<25 ans;60k€+;Oui;>90 jours;Confort
144;M;z_SUV;Private;15.0;dev_premium;février;complet;>40 ans;40-60k€;Non;>90 jours;Premium
145;M;z_SUV;Commercial;;dev_express;mai;complet;>40 ans;0-20k€;Oui;<30 jours;Standard
146;M;z_SUV;Private;11.0;dev_express;mai;complet;>40 ans;20-40k€;Non;<30 jours;Standard
147;M;z_SUV;Private;7.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Confort
148;M;z_SUV;Private;10.0;dev_integral;avril;complet;25-40 ans;20-40k€;Oui;30-59 jours;Standard
149;F;z_SUV;Private;19.0;dev_integral;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
150;F;Minivan;Private;15.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
151;M;Minivan;Private;10.0;dev_integral;février;complet;>40 ans;40-60k€;Non;>90 jours;Confort
152;F;z_SUV;Private;5.0;dev_express;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
153;F;Minivan;Private;1.0;dev_express;janvier;complet;>40 ans;Non renseigné;Oui;>90 jours;Standard
154;M;Minivan;Private;4.0;dev_express;mars;complet;25-40 ans;20-40k€;Non;60–89 jours;Standard
155;F;Pickup;Commercial;9.0;dev_integral;février;complet;>40 ans;20-40k€;Oui;>90 jours;Standard
156;M;Van;Commercial;12.0;dev_integral;janvier;complet;>40 ans;60k€+;Oui;>90 jours;Confort
157;F;Sports Car;Private;4.0;dev_express;avril;complet;>40 ans;0-20k€;Oui;30-59 jours;Standard
158;M;Pickup;Private;15.0;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Confort
159;M;Minivan;Commercial;9.0;dev_integral;mai;complet;>40 ans;60k€+;Non;<30 jours;Confort
160;M;z_SUV;Commercial;1.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
161;M;Sports Car;Private;8.0;dev_integral;mai;complet;>40 ans;60k€+;Oui;<30 jours;Standard
162;M;z_SUV;Private;12.0;dev_premium;mars;complet;25-40 ans;60k€+;Non;60–89 jours;Premium
163;F;Minivan;Private;12.0;dev_integral;février;complet;>40 ans;60k€+;Oui;>90 jours;Confort
164;F;Minivan;Private;14.0;dev_integral;avril;complet;>40 ans;40-60k€;Oui;30-59 jours;Confort
165;F;Sports Car;Private;8.0;dev_express;avril;complet;>40 ans;0-20k€;Non;30-59 jours;Standard
166;F;Minivan;Private;1.0;dev_express;avril;complet;>40 ans;0-20k€;Oui;30-59 jours;Standard
167;F;Sports Car;Private;17.0;dev_integral;mai;complet;>40 ans;60k€+;Oui;<30 jours;Standard
168;F;Pickup;Commercial;4.0;dev_integral;mai;complet;<25 ans;40-60k€;Oui;<30 jours;Standard
169;F;Panel Truck;Commercial;;dev_integral;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
170;F;z_SUV;Commercial;11.0;dev_integral;mai;complet;>40 ans;20-40k€;Non;<30 jours;Confort
171;M;Pickup;Private;11.0;dev_express;février;complet;25-40 ans;60k€+;Oui;>90 jours;Standard
172;F;Minivan;Commercial;1.0;dev_integral;mai;complet;25-40 ans;0-20k€;Non;<30 jours;Confort
173;M;Minivan;Commercial;11.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Confort
174;F;Minivan;Private;20.0;dev_integral;mai;complet;>40 ans;60k€+;Oui;<30 jours;Confort
175;M;z_SUV;Private;1.0;dev_express;avril;complet;>40 ans;0-20k€;Non;30-59 jours;Standard
176;M;Pickup;Commercial;;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Standard
177;F;Van;Commercial;12.0;dev_express;février;complet;>40 ans;0-20k€;Non;>90 jours;Standard
178;M;Sports Car;Private;16.0;dev_express;janvier;complet;25-40 ans;Non renseigné;Non;>90 jours;Standard
179;M;z_SUV;Private;1.0;dev_integral;janvier;complet;>40 ans;0-20k€;Oui;>90 jours;Standard
180;F;Van;Commercial;6.0;dev_premium;mai;complet;>40 ans;40-60k€;Oui;<30 jours;Premium
181;F;Pickup;Commercial;;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
182;F;Van;Commercial;6.0;dev_express;février;complet;25-40 ans;20-40k€;Oui;>90 jours;Standard
183;M;Panel Truck;Commercial;13.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
184;F;Van;Private;10.0;dev_premium;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
185;F;Pickup;Private;1.0;dev_express;mai;complet;>40 ans;0-20k€;Non;<30 jours;Standard
186;M;z_SUV;Commercial;5.0;dev_premium;avril;complet;<25 ans;40-60k€;Oui;30-59 jours;Premium
187;F;z_SUV;Private;1.0;dev_integral;mars;complet;>40 ans;20-40k€;Non;60–89 jours;Confort
188;F;z_SUV;Private;9.0;dev_integral;mai;complet;<25 ans;0-20k€;Oui;<30 jours;Confort
189;F;z_SUV;Private;1.0;dev_premium;janvier;complet;>40 ans;0-20k€;Non;>90 jours;Premium
190;F;Minivan;Private;11.0;dev_vip;mai;complet;<25 ans;60k€+;Non;<30 jours;Premium
191;M;Van;Commercial;;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
192;M;Sports Car;Private;1.0;dev_premium;janvier;complet;<25 ans;20-40k€;Non;>90 jours;Premium
193;F;Sports Car;Private;7.0;dev_integral;janvier;complet;>40 ans;60k€+;Non;>90 jours;Confort
194;F;Panel Truck;Commercial;1.0;dev_premium;janvier;complet;25-40 ans;40-60k€;Non;>90 jours;Premium
195;F;z_SUV;Private;15.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Confort
196;F;Sports Car;Private;7.0;dev_premium;avril;complet;>40 ans;40-60k€;Oui;30-59 jours;Confort
197;F;Minivan;Private;17.0;dev_express;février;complet;>40 ans;40-60k€;Oui;>90 jours;Standard
198;M;Panel Truck;Commercial;13.0;dev_express;avril;complet;>40 ans;60k€+;Non;30-59 jours;Standard
199;F;z_SUV;Private;4.0;dev_integral;mai;complet;>40 ans;20-40k€;Oui;<30 jours;Confort
200;F;Minivan;Commercial;;dev_express;février;complet;>40 ans;20-40k€;Non;>90 jours;Standard
201;M;Sports Car;Private;8.0;dev_express;mars;complet;<25 ans;40-60k€;Non;60–89 jours;Standard
202;M;Pickup;Commercial;7.0;dev_integral;mai;complet;>40 ans;60k€+;Non;<30 jours;Confort
203;M;Minivan;Commercial;1.0;dev_premium;avril;complet;>40 ans;40-60k€;Oui;30-59 jours;Premium
204;F;z_SUV;Commercial;14.0;dev_premium;avril;complet;>40 ans;40-60k€;Non;30-59 jours;Premium
205;M;Sports Car;Private;7.0;dev_express;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Standard
206;M;Minivan;Commercial;1.0;dev_express;mars;complet;>40 ans;40-60k€;Non;60–89 jours;Standard
207;M;Minivan;Commercial;;dev_integral;mai;complet;>40 ans;60k€+;Non;<30 jours;Confort
208;M;Minivan;Private;12.0;dev_express;février;complet;>40 ans;20-40k€;Non;>90 jours;Standard
209;M;Panel Truck;Commercial;8.0;dev_premium;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Premium
210;F;z_SUV;Private;5.0;dev_integral;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Confort
211;F;Minivan;Private;8.0;dev_integral;janvier;complet;<25 ans;40-60k€;Oui;>90 jours;Standard
212;F;Panel Truck;Commercial;16.0;dev_express;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
213;F;z_SUV;Private;;dev_integral;mai;complet;>40 ans;40-60k€;Non;<30 jours;Standard
214;F;Van;Commercial;5.0;dev_express;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Standard
215;M;Van;Commercial;;dev_integral;février;complet;>40 ans;40-60k€;Oui;>90 jours;Standard
216;M;z_SUV;Private;13.0;dev_premium;janvier;complet;>40 ans;60k€+;Non;>90 jours;Premium
217;F;Pickup;Private;6.0;dev_express;mars;complet;>40 ans;20-40k€;Oui;60–89 jours;Standard
218;F;z_SUV;Private;19.0;dev_premium;avril;complet;<25 ans;60k€+;Non;30-59 jours;Premium
219;M;Sports Car;Private;1.0;dev_premium;avril;complet;>40 ans;20-40k€;Non;30-59 jours;Premium
220;M;Minivan;Private;1.0;dev_integral;avril;complet;>40 ans;20-40k€;Oui;30-59 jours;Confort
221;M;Sports Car;Private;16.0;dev_integral;janvier;complet;>40 ans;60k€+;Oui;>90 jours;Confort
222;M;Pickup;Commercial;18.0;dev_integral;mai;complet;>40 ans;Non renseigné;Oui;<30 jours;Confort
223;F;z_SUV;Private;3.0;dev_premium;janvier;complet;25-40 ans;60k€+;Non;>90 jours;Premium
224;F;z_SUV;Commercial;5.0;dev_integral;janvier;complet;<25 ans;60k€+;Oui;>90 jours;Confort
225;F;Minivan;Commercial;1.0;dev_integral;mai;complet;>40 ans;20-40k€;Non;<30 jours;Confort
226;M;Minivan;Private;10.0;dev_express;mai;complet;>40 ans;60k€+;Non;<30 jours;Standard
227;F;z_SUV;Private;9.0;dev_integral;mars;complet;>40 ans;20-40k€;Non;60–89 jours;Confort
228;M;z_SUV;Private;3.0;dev_premium;février;complet;25-40 ans;20-40k€;Oui;>90 jours;Premium
229;F;Minivan;Private;1.0;dev_premium;mars;complet;>40 ans;0-20k€;Non;60–89 jours;Confort
230;F;Pickup;Private;1.0;dev_express;janvier;complet;>40 ans;20-40k€;Non;>90 jours;Standard
231;F;z_SUV;Private;;dev_express;mai;complet;25-40 ans;40-60k€;Non;<30 jours;Standard
232;M;Minivan;Private;7.0;dev_express;mai;complet;<25 ans;60k€+;Oui;<30 jours;Standard
233;F;Minivan;Private;;dev_express;janvier;complet;25-40 ans;60k€+;Non;>90 jours;Standard
234;F;z_SUV;Commercial;10.0;dev_express;janvier;complet;25-40 ans;60k€+;Non;>90 jours;Standard
235;F;z_SUV;Private;7.0;dev_integral;avril;complet;>40 ans;0-20k€;Oui;30-59 jours;Confort
236;M;Pickup;Private;16.0;dev_integral;mars;complet;>40 ans;40-60k€;Non;60–89 jours;Standard
237;F;Panel Truck;Commercial;15.0;dev_premium;mars;complet;25-40 ans;60k€+;Non;60–89 jours;Premium
238;F;z_SUV;Private;15.0;dev_integral;mars;complet;>40 ans;60k€+;Non;60–89 jours;Standard
239;M;z_SUV;Private;1.0;dev_integral;mai;complet;>40 ans;20-40k€;Oui;<30 jours;Standard
240;F;Minivan;Private;10.0;dev_integral;février;complet;>40 ans;60k€+;Non;>90 jours;Confort
241;F;Minivan;Private;15.0;dev_express;mai;complet;25-40 ans;60k€+;Non;<30 jours;Standard
242;M;z_SUV;Commercial;7.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
243;F;Pickup;Commercial;11.0;dev_express;mars;complet;>40 ans;0-20k€;Non;60–89 jours;Standard
244;F;Sports Car;Private;12.0;dev_express;mai;complet;>40 ans;60k€+;Oui;<30 jours;Standard
245;M;z_SUV;Private;5.0;dev_integral;mai;complet;<25 ans;40-60k€;Oui;<30 jours;Standard
246;F;Van;Private;12.0;dev_integral;janvier;complet;>40 ans;Non renseigné;Non;>90 jours;Standard
247;M;Pickup;Commercial;7.0;dev_premium;mai;complet;25-40 ans;60k€+;Oui;<30 jours;Premium
248;M;Van;Commercial;1.0;dev_integral;janvier;complet;<25 ans;0-20k€;Oui;>90 jours;Confort
249;M;Pickup;Private;10.0;dev_integral;avril;complet;25-40 ans;20-40k€;Non;30-59 jours;Confort
250;F;Minivan;Private;15.0;dev_integral;avril;complet;25-40 ans;60k€+;Non;30-59 jours;Standard
251;M;z_SUV;Private;20.0;dev_integral;janvier;complet;<25 ans;60k€+;Non;>90 jours;Confort
252;F;z_SUV;Commercial;12.0;dev_express;mai;complet;25-40 ans;40-60k€;Non;<30 jours;Standard
253;M;Minivan;Commercial;6.0;dev_premium;janvier;complet;>40 ans;40-60k€;Non;>90 jours;Premium
254;F;Van;Private;18.0;dev_express;février;complet;>40 ans;60k€+;Non;>90 jours;Standard
255;M;Minivan;Private;8.0;dev_integral;avril;complet;<25 ans;20-40k€;Non;30-59 jours;Confort
256;M;Van;Commercial;;dev_premium;mai;complet;>40 ans;60k€+;Oui;<30 jours;Premium
